CATEGORY,YEAR,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,TYPE,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,,,,,,,,,,,,,,,,,,,,,,,
,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,28259973.14,3132458,33858168,82180,17554585,,85641,39490465,3072450,104176,21072500,8300788,8581300,333609,759560,157752512,254543,9702000,10625700,311500,8393132,64000,676040,9524495,3778410,1892426,189798070,,384852,7659764,14721434,7837981,13669857,18659938,32976000,491717,53528.5,4257403,10622922,16636135,1317885000,44359445,628410.0607,3551105,,4458782,20122796,4436000,11204438,853814,10334160,23727676,62522787,5461438,834291,72793.43035,9813686,13341817,80060540,6106761,642210,4781169,1341672,78646128,838699,5288720,63826178,1421882,1615510,4388400,82266372,22870966,31002,11192763,103169,13353769,9615073,1541040,764100,9720086,,7174129,6925900,10055780,311566,1124786997,224669595,71021038.87,29947491.27,4356931,7180100,59375289,2675800,127770750,5675000,15484192,37754701,95068,2662966.035,5234800,6092332,2276100,4162450,2031676,3627285,6168997,35341,3375618,479993,513076,18604365,13589404,26555654,300718,14020786,409050,58315.6655,3138922,1260692,105280515.4,110092,32620,2611453,620941,,31224136,21869362,49129445,2088671,,28286728,16381696,,4228300,5595052,14139684,147721843,,4709153,2726301,162590902.9,20162.02938,3832185,3343341,6422574,6126643,28508481,88718185,38120560,10608335,1137553,48456000,3576904,21546873,142100000,9454534,48789.84187,168338,109005,178948,30580,157637,24236361.26,11893335,7381579,85032,5420400,4588600,5397318,2018122,498240,8732569,48257282,44878945,20010000,40373635,510366,1151399,9148092,7551117,20082696.76,6727377,66979359,2047922,1060770,6300495,,103066,1328216,10225400,73003736,4977386,32413,9762,30637544,46509350,4363913,60980304,41276209,301580000,3323906,26867800,222377,27483000,85154900,22269306,12055384,12449219,,,,56555,,,3941235,80556,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,2.657669026,0.342393753,1.507818088,2.831134506,2.68736923,,1.208803991,0.98000408,0.129459342,1.428913395,1.793662704,0.221477088,1.133855466,1.22385266,2.134096302,1.461907869,0.256867811,-0.313875068,0.734330831,3.300750301,3.207327131,0.312989301,1.802431475,1.808144377,-0.081429675,1.468917148,0.974106132,,1.94419303,-0.511187415,3.433300264,3.037366024,1.132760342,2.287823264,0.996579677,1.445779688,1.335271421,1.884439882,2.832889279,1.020321242,0.522271866,1.487489984,2.383992486,1.848293487,,1.424406683,2.258527313,-0.090130696,0.029644434,1.033295809,0.63122155,0.405766963,2.794459925,0.443466054,1.788664392,0.547979484,1.436139358,1.045628348,1.838492357,0.411176261,2.653350189,3.192261476,-0.139653436,2.59998065,0.642215949,0.425429832,0.611061497,1.864760094,2.801281465,-0.218519617,-0.133718573,2.110474197,0.310137872,0.396603696,0.335935692,2.465341469,2.135914396,2.239963467,-0.022638453,1.614147079,,1.999640618,0.998339569,-0.154915158,2.530085489,1.34038184,1.216215384,1.308313638,2.518029853,2.231731121,1.776100869,0.733272008,0.47575433,0.01154478,2.371511693,1.143851233,2.638383611,1.605361533,2.414315788,0.819039958,1.803343944,-0.519189396,0.88206349,0.892697094,4.403593566,2.029932082,0.858203619,-0.545490813,1.544386847,2.598789872,2.718384024,2.942746809,1.750884361,1.408863129,3.100099629,0.647981685,2.258556703,2.471871266,0.613047579,1.011125628,0.275603796,0.26706384,1.169420621,-0.075984787,,1.195833508,2.387259346,0.830068136,1.954074384,,1.885854532,0.217521601,,1.03889011,1.265043036,3.863100118,2.362246663,,1.034734515,2.084667392,2.142192413,0.573200835,3.477721987,1.682039549,2.41003542,1.832744253,1.173170904,1.841813918,-0.054305021,0.226408471,12.82726483,0.328672275,-0.240589056,-0.189143147,-0.281096461,2.620489027,0.816695757,0.895058127,0.122087248,-0.031289112,1.303421784,1.605723152,2.32718345,2.645148098,-0.405458542,0.509338962,2.79876495,4.165229452,0.109540275,0.559207816,2.502965557,2.185676863,1.096678804,1.713622904,0.621618204,2.520522815,1.000944704,1.283784022,0.741552515,0.893690978,2.452381786,1.502254439,0.70839981,0.236176333,2.114836681,2.500589498,,0.555554282,0.380782723,0.9561082,1.262402177,1.349263218,2.038342716,0.307787254,3.270557897,-0.596804887,3.056755507,0.61751624,2.848003883,0.995387884,0.284407272,1.431980326,2.558338906,1.658327617,1.202790537,2.877372545,2.564918841,-0.081361557,,,,-0.386485847,,,0.368354221,0.127943176,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,6.711,1.864,2.385,1.17811,5.902,,,2.254,1.732,1.739,1.92,1.383,2.3,2.02,2.311,2.398,1.521,1.37,1.81621,2.971,5.515,1.7568,2.739,3.549,1.209,2.911,1.941,,2.109,1.41778,5.962,4.729,2.972,4.695,1.59,2.82,,4.902,6.245,1.941,1.762,2.453,4.011,4.46,,1.997,4.693,1.4,1.522,1.517,1.43662,1.862,6.154,1.8423,4.001,,2.685,2.599,2.909,2.349,5.392,4.734,1.63133,5.422,2.775,1.82903,1.97761,3.383,5.135,1.572,1.36875,4,,1.41278,2.301,4.199,5.486,5.743,2.343,3.58,,3.339,1.02,1.31579,2.08803,2.798,2.206,1.851,4.145,2.01031,2.9,1.37295,2.412,1.34,3.524,2.5,4.962,,2.184,2.7,3.531,1.40509,1.866,3.405,5.9,2.75,1.42409,1.35315,1.60846,0.921,4.824,5.639,2.608,2.054,6.56,1.37226,4.5,4.556,1.66,2.133900364,3.66,,2.008,1.655,,2.374,5.157,2.326,3.435,,2.998,1.7167,,2.11,2.76,7.172,5.7,,1.90071,3.13,4.039,,5.153,2.576,4.125,3.121,2.612,3.122,1.30626,1.32921,2.48,1.25,1.489,1.2973,1.41,5.485,,2.026,2.131,4.057,,3.901,3.22,4.9,1.4,2.24,5.236,1.29,1.25185,1.38233,3.955,6.42,2.581,1.39501,2.341,4.284,2.432,3.612,1.87907,1.45561,3.317,3.479,1.809,1.446,6.588,4.356,,4.066,1.625,2.03,2.127,2.523,,,6.419,1.345,2.007,1.9016,5.592,2.1132,2.02,2.55,4.029,2.58,2.092,5.345,5.903,3.492,,,,2.23,,,1.6505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,2,0,3,1,1,2,1,1,0,3,2,3,4,0,1,2,3,3,4,0,4,0,2,1,1,1,3,1,2,0,4,3,1,3,2,0,4,0,3,1,2,0,3,2,1,0,1,3,3,1,1,2,0,3,1,1,2,1,1,0,3,2,3,4,0,1,2,3,3,4,0,4,0,2,1,1,1,3,1,2,0,4,3,1,3,2,0,4,0,3,1,2,0,3,2,1,0,1,3,3,1,1,2,0,3,1,1,2,1,1,0,3,2,3,4,0,1,2,3,3,4,0,4,0,2,1,1,1,3,1,2,0,4,3,1,3,2,0,4,0,3,1,2,0,3,2,1,0,1,3,3,1,1,2,0,3,1,1,2,1,1,0,3,2,3,4,0,1,2,3,3,4,0,4,0,2,1,1,1,3,1,2,0,4,3,1,3,2,0,4,0,3,1,2,0,3,2,1,0,1,3,3,1,1,2,0,3,1,1,2,1,1,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,27518809.06,3121751,33351478,79886,17089111,,84612,39105347,3068475,102698,20697900,8282424,8484550,329551,743522,155463091,253890,9732500,10547958,301386,8128208,63800,663964,9353826,3781488,1864831,187958211,,377442,7699020,14224581,7603492,13515884,18237878,32649000,484659,52818.5,4177926,10326209,16467256,1311020000,43704486,613605.9773,3486073,,4395721,19673411,4440000,11201117,845037,10269134,23631592,60799799,5437272,819501,72395.62822,9673755,13203038,78602081,6081703,625394,4630952,1343547,76627697,833330,5266268,63437350,1395613,1570883,4398000,82376451,22393338,30906,11148460,102823,13028578,9411881,1506905,764273,9564449,,7032097,6857100,10071370,303782,1109811147,221953678,70097912.8,29202819.37,4260773,7053700,58941499,2663100,127756000,5542000,15308085,36771613,93554,2599443.528,5192100,5983451,2287948,4125896,2013620,3471020,6045033,35039,3394082,472637,499914,18105439,13195329,26094742,296511,13592796,406408,57013.33542,3062283,1252987,104221360.9,109789,32533,2581092,621413,,30852971,21353466,48723325,2048253,,27758280,16346101,,4184600,5524718,13603870,144273182,,4660677,2670055,159144934.4,20046.79104,3701203.055,3287575,6269638,6015380,28175982,87099117,38141267,10584344,1000607,48297000,3585520,21587666,142500000,9209997,48393,166838,108872,179004,30184,155126,23678849,11582863,7411569,84600,5270799,4401400,5391409,2006868,485924,8543774,47730946,44116441,19886000,39368726,505283,1136712,9080505,7483934,19596182.34,6627070,66506554,2043091,1038572,6144899,,102495,1323168,10128100,72087928,4910679,31759,9732,29651734,46787750,4232537,60604901,40117243,298593000,3314466,26485800,216760,27031000,84136800,21637666,11750105,12459352,,,,56774,,,3926744,80453,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,2.657669026,0.358517985,1.501230207,2.759093279,2.797976433,,1.282236592,0.960332779,0.115759624,1.631575357,1.475227945,0.59487728,1.098586574,1.238094915,2.168539202,1.517310256,0.252001056,-0.441781442,0.659243288,3.232319912,3.258411598,0.36115294,2.150329124,1.853365932,0.005659308,1.392129843,1.054307097,,1.97112267,-0.530863957,3.413766674,3.008753202,1.17820216,2.299113255,1.037554912,1.501124231,17.35544734,1.846609171,3.02426596,1.036263206,0.558374367,1.510605832,2.160776717,2.011417819,,1.544238829,2.202370479,-0.045034903,0.070776913,1.075419264,0.32485824,0.434731546,2.87490032,0.392399094,1.792787796,0.547979484,1.461072077,1.070088902,1.858944932,0.380930625,2.688054661,3.467586367,-0.189839095,2.600204957,0.636101378,0.383700889,0.689818962,1.908593758,2.889752037,0.840264328,-0.112770821,2.158450409,0.623176311,0.399596801,0.314626483,2.477678111,2.051449607,2.301067686,0.057456711,1.628099821,,2.002337956,0.642270483,-0.155567779,2.342030541,1.38163946,1.243719592,1.452541911,2.518029853,2.415189451,1.767805874,0.569041312,0.478028576,-0.01330573,2.382912769,1.057671309,2.630955128,1.670675532,2.492781415,0.940445803,1.746113827,-0.547114463,1.079560993,0.921035083,4.02091301,2.042223022,0.926105107,-0.593916717,1.595051918,2.489146656,2.750353234,2.865467812,1.783842971,1.394790957,3.109422987,0.71810934,2.166074119,2.548593031,0.779896912,1.092312825,0.337579241,0.246207,1.22039155,-0.514594661,,1.16706098,2.46096096,0.778633537,1.933571393,,1.952552892,0.160723964,,1.21898486,1.265999018,3.759438186,2.381025044,,0.805198073,1.975219515,2.142192413,0.574261282,3.477721987,1.716541367,2.445035522,1.866318248,1.214238844,1.857805544,-0.063383675,0.330220231,12.22785276,0.329756093,-0.269110341,-0.216019624,-0.455103184,2.393866211,0.815416426,1.234527739,0.143390285,0.021230829,1.159626457,1.62734137,2.392767167,2.638054511,-0.393204593,2.029920447,3.157431993,3.129293551,0.081811708,0.317814853,2.534925795,2.246200537,1.121849502,1.64157113,1.102301701,2.464557128,1.099268613,1.088143089,0.623768044,0.627760165,2.452381786,1.390810627,0.846920217,0.244144001,2.753306151,2.51837095,,0.602818231,0.368583342,0.983284286,1.282874592,1.383924635,3.953185447,0.39122875,3.264944179,-0.676092035,3.449330964,0.62633096,2.805592125,0.955679559,0.264131585,1.209556379,2.612725441,1.693817544,1.232353433,2.878560007,2.479311674,-0.12618695,,,,-0.283179181,,,0.408857208,0.341152779,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,6.835,1.876,2.409,1.23598,6.057,,,2.269,1.726,1.748,1.817,1.4079,2.3,2.033,2.351,2.47,1.514,1.287,1.80019,3.046,5.578,1.7544,2.853,3.641,1.213,2.96,2.007,,2.139,1.37876,6.01,4.876,3.041,4.758,1.59,2.922,,5.001,6.323,1.949,1.761,2.475,4.062,4.548,,2.043,4.78,1.38,1.541,1.524,1.32777,1.868,6.28,1.84659,4.111,,2.72,2.644,2.96,2.384,5.447,4.837,1.54502,5.522,2.818,1.83691,2.00057,3.461,5.212,1.568,1.32903,4.2105,,1.40113,2.32,4.289,5.559,5.773,2.363,3.663,,3.417,0.966,1.3399,2.07933,2.863,2.245,1.898,4.241,1.9263,2.88,1.35046,2.437,1.32,3.562,2.36,4.991,,2.201,2.7,3.591,1.34824,1.892,3.481,5.9,2.807,1.42934,1.30634,1.64649,0.896,4.925,5.729,2.661,2.093,6.58,1.39282,4.5,4.636,1.7,2.171568965,3.745,,2.014,1.676,,2.396,5.246,2.349,3.513,,3.11,1.71922,,2,2.8,7.22,5.7,,1.90404,3.234,4.124,,5.267,2.606,4.178,3.197,2.653,3.168,1.26672,1.35651,2.561,1.12,1.484,1.31714,1.3,5.564,,2.035,2.147,4.161,1.24,3.997,3.329,5.02,1.43,2.1,5.264,1.28,1.23997,1.31457,4.041,6.447,2.626,1.37968,2.35,4.4,2.465,3.697,1.85374,1.43655,3.389,3.545,1.805,1.46,6.686,4.456,,4.117,1.616,2.03,2.141,2.572,,,6.492,1.31,2.089,1.84396,5.617,2.1,2.03,2.39,4.096,2.62,2.123,5.465,5.968,3.551,,,,2.26,,,1.7123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,3,2,3,2,3,2,1,1,1,3,1,2,4,0,0,2,2,1,3,1,3,3,1,2,2,2,3,3,1,4,4,1,3,4,1,4,2,1,4,3,1,2,3,2,4,1,0,0,4,2,3,3,2,3,2,3,2,1,1,1,3,1,2,4,0,0,2,2,1,3,1,3,3,1,2,2,2,3,3,1,4,4,1,3,4,1,4,2,1,4,3,1,2,3,2,4,1,0,0,4,2,3,3,2,3,2,3,2,1,1,1,3,1,2,4,0,0,2,2,1,3,1,3,3,1,2,2,2,3,3,1,4,4,1,3,4,1,4,2,1,4,3,1,2,3,2,4,1,0,0,4,2,3,3,2,3,2,3,2,1,1,1,3,1,2,4,0,0,2,2,1,3,1,3,3,1,2,2,2,3,3,1,4,4,1,3,4,1,4,2,1,4,3,1,2,3,2,4,1,0,0,4,2,3,3,2,3,2,3,2,1,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,26797083.21,3110579,32854535,77712,16617589,,83534,38731603,3064925,101036,20394800,8233300,8391850,325496,727572,153122039,253251,9775591.494,10478650,291800,7867626,63570,649839,9182062,3781274,1839050,185986964,,370075,7740000,13747182,7378129,13357574,17823352,32312000,477438,44403,4101484,10018592,16297493,1303720000,43049245,600489.541,3416654,,4328362,19244866,4442000,11193192,835998,10235828,23529081,59076752,5415978,804940,72000,9533442,13062507,77154409,6058580,608807,4473122,1346100,74660901,828046,5246100,63001253,1369229,1526138,4361200,82469400,21915168,30714,11104000,102500,12709738,9220768,1472626,763834,9409991,,6892691,6813200,10087050,296750,1094583000,219210292,69087070.46,28476664.43,4159100,6930100,58607050,2650400,127773000,5411500,15147029,35816784,92004,2535446.056,5143500,5879880,2300500,4081594,1995159,3334222,5922832,34716,3414300,465158,487624,17614261,12822587,25633380,292404,13176642,403500,55791.66325,2985224,1243253,103089132.6,109419,32453,2549784,624619,,30494991,20834379,48345422,2009029,,27221542,16319850,,4133900,5455216,13101935,140878575,,4623300,2617833,155772000,19932,3574697.999,3231624,6118202,5904155,27835927,85495923,38165450,10549450,885439,48138000,3595182,21634350,143150000,8992140,48000,164791,108716,178966,29836,152622,23118994,11281296,7440769,82900,5106977,4265800,5387000,2000500,473761,8354003,47198469,43398150,19668000,38410320,499759,1124410,9024040,7437100,19121454,6535538,65945675,2038109,1010367,5992080,,101879,1318300,10029000,71169037,4843187,30528,9694,28699255,47105150,4089032,60226500,39007359,295753000,3305723,26167369,211170,26577000,83106300,21023692,11462365,12475084,,,,56935,,,3910722,80179,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,2.515248685,0.383363629,1.497743599,4.08959884,2.944206829,,1.344987495,0.932678633,0.100575042,1.870184378,1.319789554,0.714288751,1.023471904,1.249882953,2.205929909,1.576997301,0.258971731,-0.498754151,0.550527915,3.203616584,3.31972714,0.394042594,2.543938395,1.900973862,-0.012957756,1.289262858,1.1429233,,1.993941974,-0.528317703,3.380776381,2.971922298,1.232433989,2.308073797,0.985903767,1.564204116,9.839580838,1.792422922,3.258094303,1.05277538,0.58812499,1.531652664,2.111400782,2.237598214,,1.67696758,2.129209763,0.067559962,0.119277496,1.120733169,0.193742982,0.466134759,2.989130538,0.273658078,1.766701087,0.7374346,1.485483041,1.101918149,1.878805822,0.353611473,2.720781711,3.795249796,-0.215095554,2.597952678,0.625225017,0.342876253,0.746729796,1.956455084,2.984998475,0.988544256,-0.05679282,2.214191011,1.001284502,0.381219234,0.298983095,2.491928733,1.973975598,2.383566783,0.154603277,1.638160461,,2.004256528,0.436871406,-0.199027549,1.580700955,1.367061477,1.270316436,1.484652955,2.517550998,2.203661318,1.762897661,0.739413048,0.465161092,0.009392097,2.270807288,0.888898043,2.62058651,1.745505241,3.039774598,0.990561133,1.669781732,-0.532859237,1.328465657,0.937843475,3.341712235,2.049138641,0.99874902,-0.621459485,1.530054663,2.322171034,2.780066599,2.765843287,1.80917167,1.38157419,3.116977179,0.546721044,2.068136306,2.62921045,0.796809887,1.013346344,0.451579691,0.203578109,1.276295972,-1.042070108,,1.131818256,2.546104921,0.716608443,1.8989749,,2.024679702,0.233837355,,1.12877351,1.269718479,3.621115423,2.395739866,,0.680396537,1.845537438,2.410991373,0.583678823,3.477721987,1.749733856,2.477010977,1.900483987,1.259842417,1.870767509,-0.043935852,0.451138937,10.51812108,0.205870499,-0.243141083,-0.23330954,-0.487509848,1.936436718,2.137662277,1.440623891,0.170313095,0.075461788,1.278414524,1.654262472,2.583598223,2.621022943,-0.300431133,0.48367688,3.609617881,2.350538102,0.084507816,0.175114002,2.563387792,2.305361711,1.137194394,1.641346271,1.052910315,2.388799191,1.211286867,0.839956444,0.355750148,0.640994174,3.240858036,1.266521118,1.016619014,0.249069924,3.663296617,2.514426061,,0.663767185,0.354568533,0.967875541,1.299507939,1.434781123,6.481808502,0.496381578,3.259410054,-0.732790732,3.89596781,0.577214975,2.760003339,0.919505323,0.120802956,1.164621199,2.692066942,1.707691772,1.301475334,2.883365791,2.383211782,-0.137883927,,,,0.040405106,,,0.430282446,0.571605236,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,6.973,1.896,2.433,,6.219,,,2.288,1.72,1.762,1.791,1.40667,2.3,2.05,2.392,2.553,1.508,1.21,1.76013,3.126,5.64,1.752,2.982,3.732,1.224,3.014,2.075,,2.172,1.31518,6.052,5.026,3.124,4.812,1.54,3.038,,5.094,6.395,1.959,1.759,2.496,4.106,4.627,,2.099,4.861,1.41,1.563,1.538,1.28113,1.877,6.407,1.79911,4.222,,2.752,2.691,3.013,2.431,5.503,4.939,1.49704,5.621,2.862,1.80286,1.94096,3.544,5.285,1.567,1.33762,4.421,,1.33252,2.343,4.379,5.63,5.798,2.382,3.753,,3.498,0.966,1.30646,2.04841,2.93,2.283,1.949,4.345,1.8743,2.84,1.32154,2.462,1.26,3.6,2.22,5.005,3.44,2.222,2.5,3.668,1.30683,1.932,3.564,5.9375,2.866,1.49036,1.27213,1.62694,0.873,5.027,5.818,2.715,2.148,6.6,1.37803,4.5,4.714,1.82,2.205423565,3.832,,2.02,1.702,,2.423,5.33,2.374,3.592,,3.237,1.70751,,1.96,2.846,7.267,5.704,,1.83638,3.364,4.21,,5.377,2.635,4.229,3.275,2.693,3.215,1.24258,1.40121,2.651,1.08,1.482,1.32188,1.29,5.639,,2.046,2.167,4.259,1.1,4.094,3.451,5.14,1.45,2.2,5.288,1.26,1.25352,1.2613,4.128,6.469,2.674,1.34586,2.351,4.519,2.501,3.783,1.76907,1.41931,3.46,3.615,1.803,1.481,6.781,4.559,,4.152,1.609,2.04,2.159,2.62,,,6.56,1.2,2.185,1.78126,5.634,2.054,2.04,2.36,4.159,2.65,2.154,5.586,6.02,3.606,,,,2.3,,,1.7702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,3,2,3,2,3,2,1,1,1,3,1,2,4,0,0,2,2,1,3,1,3,3,1,2,2,2,3,3,1,4,4,1,3,4,1,4,2,1,4,3,1,2,3,2,4,1,0,0,4,2,3,3,2,3,2,3,2,1,1,1,3,1,2,4,0,0,2,2,1,3,1,3,3,1,2,2,2,3,3,1,4,4,1,3,4,1,4,2,1,4,3,1,2,3,2,4,1,0,0,4,2,3,3,2,3,2,3,2,1,1,1,3,1,2,4,0,0,2,2,1,3,1,3,3,1,2,2,2,3,3,1,4,4,1,3,4,1,4,2,1,4,3,1,2,3,2,4,1,0,0,4,2,3,3,2,3,2,3,2,1,1,1,3,1,2,4,0,0,2,2,1,3,1,3,3,1,2,2,2,3,3,1,4,4,1,3,4,1,4,2,1,4,3,1,2,3,2,4,1,0,0,4,2,3,3,2,3,2,3,2,1,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,26131475.86,3098677,32366125,74598,16135465,,82418,38372041,3061844,99164,20127400,8174700,8306399.798,321453,711698,150726249,252596,9824469.451,10421120.61,282600,7610730,63320,633516,9009162,3781764,1815492,183873377,,362769,7781000,13290189,7162083,13193961,17416687,31995000,470028,40242,4028623,9697437,16126817,1296075000,42394904,587943.7126,3341052,,4256382,18839434,4439000,11179849,826681,10216016,23419659,57337002,5401177,790844,71471,9392871,12919359,75718360,6037194,592466,4306537,1348998.517,72746225,822885,5228143.171,62532556,1342701,1481256,4318300,82516250,21435257,30408,11061750,102194,12396934,9040537,1437940,762654,9257096,,6755919,6783500,10107146,292096.1486,1079721194,216443240,68068943.75,27768698.97,4068450,6809000,58175300,2638100,127761000,5290000,15012984,34890366,90412,2459533.836,5092802,5782514,2312791.145,4027730,1976535,3224643,5802700,34371,3435584.56,458095,476431,17131317,12472794,25173798,288392,12772264,401300,54649.66534,2907759,1233386,102049757.7,108926,32387,2517448,631162,,30151789,20310610,48000213,1971238,,26675935,16281732.68,,4087500,5386388,12635986,137543599,,4591950,2569963,152061263,19816,3452516.816,3175571,5968515,5793007,27487438,83911361,38182222,10501964.52,797038,48039000,3603934,21684883.93,143849574.2,8819688,46984.81142,162434,108531,178831,29457,150118,22529342,10989452,7463157,82500,4925922,4166700,5382449.487,1996999.91,461771,8163616,46664771,42691650,19462000,37503647,493742,1115005,8991994,7389581.082,18511689,6453286,65278655,2033039,974024,5843292,,101205,1313634,9932400,70250173,4774194,28612,9646,27778909,47451600,3932788,59879865,37945476,293046000,3301732,25864386,205561,26127000,82031700,20426158,11192422,12492297,,,,56912,,,3893931,79722,,,,,,,,,,,,,,,,,,,,,,,,,,,,
